type;name;data;unit
ValueBox;01SHUTTER;1,4800000000000002;us
ValueBox;02SHUTTER;126,5;us
ValueBox;Measrate;0,0001;kHz

MeasSignale
Zeitstempel [ms];01DIST1 [mm];02DIST1 [mm];01DIST1_PEAK [mm];02DIST1_PEAK [mm];01INTENSITY1 [%];02INTENSITY1 [%]
0,9500;6,63082;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
0,9600;6,63085;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
0,9700;6,63089;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
0,9800;6,63093;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
0,9900;6,63094;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,0000;6,63092;2147483396,00000;0,00147;2147483396,00000;0,390;0,000
1,0100;6,63089;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,0200;6,63088;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,0300;6,63090;2147483396,00000;0,00147;2147483396,00000;0,394;0,000
1,0400;6,63092;2147483396,00000;0,00147;2147483396,00000;0,395;0,000
1,0500;6,63094;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,0600;6,63095;2147483396,00000;0,00147;2147483396,00000;0,390;0,000
1,0700;6,63099;2147483396,00000;0,00147;2147483396,00000;0,390;0,000
1,0800;6,63102;2147483396,00000;0,00147;2147483396,00000;0,394;0,000
1,0900;6,63105;2147483396,00000;0,00147;2147483396,00000;0,394;0,000
1,1000;6,63106;2147483396,00000;0,00147;2147483396,00000;0,394;0,000
1,1100;6,63105;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,1200;6,63103;2147483396,00000;0,00147;2147483396,00000;0,389;0,000
1,1300;6,63101;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
1,1400;6,63101;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
1,1500;6,63102;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,1600;6,63103;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,1700;6,63103;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
1,1800;6,63103;2147483396,00000;0,00147;2147483396,00000;0,390;0,000
1,1900;6,63105;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,2000;6,63106;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,2100;6,63107;2147483396,00000;0,00147;2147483396,00000;0,394;0,000
1,2200;6,63104;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,2300;6,63102;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,2400;6,63099;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
1,2500;6,63097;2147483396,00000;0,00147;2147483396,00000;0,392;0,000
1,2600;6,63098;2147483396,00000;0,00147;2147483396,00000;0,393;0,000
1,2700;6,63100;2147483396,00000;0,00147;2147483396,00000;0,390;0,000
1,2800;6,63102;2147483396,00000;0,00147;2147483396,00000;0,391;0,000
1,2900;6,63107;2147483396,00000;0,00147;2147483396,00000;0,388;0,000
1,3000;6,63113;2147483396,00000;0,00131;2147483396,00000;0,387;0,000
1,3100;6,63125;2147483396,00000;0,00121;2147483396,00000;0,387;0,000
1,3200;6,63138;2147483396,00000;0,00097;2147483396,00000;0,388;0,000
1,3300;6,63153;2147483396,00000;0,00080;2147483396,00000;0,384;0,000
1,3400;6,63169;2147483396,00000;0,00087;2147483396,00000;0,383;0,000
1,3500;6,63193;2147483396,00000;0,00111;2147483396,00000;0,380;0,000
1,3600;6,63220;2147483396,00000;0,00139;2147483396,00000;0,384;0,000
1,3700;6,63248;2147483396,00000;0,00166;2147483396,00000;0,385;0,000
1,3800;6,63279;2147483396,00000;0,00198;2147483396,00000;0,383;0,000
1,3900;6,63312;2147483396,00000;0,00230;2147483396,00000;0,387;0,000
1,4000;6,63344;2147483396,00000;0,00262;2147483396,00000;0,391;0,000
1,4100;6,63388;2147483396,00000;0,00307;2147483396,00000;0,390;0,000
1,4200;6,63433;2147483396,00000;0,00351;2147483396,00000;0,389;0,000
1,4300;6,63477;2147483396,00000;0,00395;2147483396,00000;0,387;0,000
1,4400;6,63521;2147483396,00000;0,00439;2147483396,00000;0,388;0,000
1,4500;6,63561;2147483396,00000;0,00479;2147483396,00000;0,391;0,000
1,4600;6,63599;2147483396,00000;0,00517;2147483396,00000;0,394;0,000
1,4700;6,63642;2147483396,00000;0,00560;2147483396,00000;0,393;0,000
1,4800;6,63692;2147483396,00000;0,00611;2147483396,00000;0,391;0,000
1,4900;6,63740;2147483396,00000;0,00659;2147483396,00000;0,390;0,000
1,5000;6,63787;2147483396,00000;0,00706;2147483396,00000;0,390;0,000
1,5100;6,63824;2147483396,00000;0,00743;2147483396,00000;0,394;0,000
1,5200;6,63859;2147483396,00000;0,00777;2147483396,00000;0,394;0,000
1,5300;6,63904;2147483396,00000;0,00822;2147483396,00000;0,394;0,000
1,5400;6,63955;2147483396,00000;0,00874;2147483396,00000;0,394;0,000
1,5500;6,64006;2147483396,00000;0,00925;2147483396,00000;0,393;0,000
1,5600;6,64058;2147483396,00000;0,00976;2147483396,00000;0,392;0,000
1,5700;6,64097;2147483396,00000;0,01015;2147483396,00000;0,396;0,000
1,5800;6,64134;2147483396,00000;0,01052;2147483396,00000;0,393;0,000
1,5900;6,64181;2147483396,00000;0,01099;2147483396,00000;0,393;0,000
1,6000;6,64239;2147483396,00000;0,01157;2147483396,00000;0,394;0,000
1,6100;6,64297;2147483396,00000;0,01215;2147483396,00000;0,394;0,000
1,6200;6,64355;2147483396,00000;0,01273;2147483396,00000;0,392;0,000
1,6300;6,64401;2147483396,00000;0,01320;2147483396,00000;0,392;0,000
1,6400;6,64440;2147483396,00000;0,01359;2147483396,00000;0,392;0,000
1,6500;6,64487;2147483396,00000;0,01405;2147483396,00000;0,390;0,000
1,6600;6,64546;2147483396,00000;0,01464;2147483396,00000;0,390;0,000
1,6700;6,64605;2147483396,00000;0,01523;2147483396,00000;0,393;0,000
1,6800;6,64664;2147483396,00000;0,01582;2147483396,00000;0,391;0,000
1,6900;6,64715;2147483396,00000;0,01634;2147483396,00000;0,390;0,000
1,7000;6,64759;2147483396,00000;0,01678;2147483396,00000;0,386;0,000
1,7100;6,64803;2147483396,00000;0,01721;2147483396,00000;0,387;0,000
1,7200;6,64860;2147483396,00000;0,01779;2147483396,00000;0,385;0,000
1,7300;6,64918;2147483396,00000;0,01836;2147483396,00000;0,386;0,000
1,7400;6,64975;2147483396,00000;0,01894;2147483396,00000;0,389;0,000
1,7500;6,65028;2147483396,00000;0,01946;2147483396,00000;0,386;0,000
1,7600;6,65069;2147483396,00000;0,01988;2147483396,00000;0,383;0,000
1,7700;6,65110;2147483396,00000;0,02029;2147483396,00000;0,382;0,000
1,7800;6,65164;2147483396,00000;0,02082;2147483396,00000;0,380;0,000
1,7900;6,65221;2147483396,00000;0,02139;2147483396,00000;0,381;0,000
1,8000;6,65277;2147483396,00000;0,02196;2147483396,00000;0,384;0,000
1,8100;6,65329;2147483396,00000;0,02247;2147483396,00000;0,381;0,000
1,8200;6,65368;2147483396,00000;0,02286;2147483396,00000;0,382;0,000
1,8300;6,65407;2147483396,00000;0,02325;2147483396,00000;0,384;0,000
1,8400;6,65459;2147483396,00000;0,02377;2147483396,00000;0,384;0,000
1,8500;6,65510;2147483396,00000;0,02429;2147483396,00000;0,382;0,000
1,8600;6,65562;2147483396,00000;0,02481;2147483396,00000;0,381;0,000
1,8700;6,65614;2147483396,00000;0,02532;2147483396,00000;0,383;0,000
1,8800;6,65652;2147483396,00000;0,02571;2147483396,00000;0,386;0,000
1,8900;6,65691;2147483396,00000;0,02609;2147483396,00000;0,390;0,000
1,9000;6,65741;2147483396,00000;0,02659;2147483396,00000;0,388;0,000
1,9100;6,65790;2147483396,00000;0,02708;2147483396,00000;0,386;0,000
1,9200;6,65838;2147483396,00000;0,02757;2147483396,00000;0,387;0,000
1,9300;6,65887;2147483396,00000;0,02806;2147483396,00000;0,384;0,000
1,9400;6,65924;2147483396,00000;0,02842;2147483396,00000;0,391;0,000
1,9500;6,65958;2147483396,00000;0,02876;2147483396,00000;0,390;0,000
1,9600;6,66005;2147483396,00000;0,02923;2147483396,00000;0,391;0,000
1,9700;6,66056;2147483396,00000;0,02975;2147483396,00000;0,390;0,000
1,9800;6,66107;2147483396,00000;0,03026;2147483396,00000;0,388;0,000
1,9900;6,66159;2147483396,00000;0,03077;2147483396,00000;0,390;0,000
2,0000;6,66197;2147483396,00000;0,03115;2147483396,00000;0,390;0,000
2,0100;6,66232;2147483396,00000;0,03150;2147483396,00000;0,390;0,000
2,0200;6,66276;2147483396,00000;0,03194;2147483396,00000;0,390;0,000
2,0300;6,66332;2147483396,00000;0,03250;2147483396,00000;0,392;0,000
2,0400;6,66388;2147483396,00000;0,03306;2147483396,00000;0,391;0,000
2,0500;6,66444;2147483396,00000;0,03362;2147483396,00000;0,390;0,000
2,0600;6,66488;2147483396,00000;0,03407;2147483396,00000;0,389;0,000
2,0700;6,66530;2147483396,00000;0,03448;2147483396,00000;0,390;0,000
2,0800;6,66575;2147483396,00000;0,03494;2147483396,00000;0,387;0,000
2,0900;6,66636;2147483396,00000;0,03554;2147483396,00000;0,390;0,000
2,1000;6,66696;2147483396,00000;0,03615;2147483396,00000;0,391;0,000
2,1100;6,66757;2147483396,00000;0,03675;2147483396,00000;0,387;0,000
2,1200;6,66801;2147483396,00000;0,03720;2147483396,00000;0,391;0,000
2,1300;6,66840;2147483396,00000;0,03758;2147483396,00000;0,386;0,000
2,1400;6,66878;2147483396,00000;0,03797;2147483396,00000;0,382;0,000
2,1500;6,66936;2147483396,00000;0,03854;2147483396,00000;0,383;0,000
2,1600;6,66994;2147483396,00000;0,03912;2147483396,00000;0,386;0,000
2,1700;6,67051;2147483396,00000;0,03970;2147483396,00000;0,385;0,000
2,1800;6,67099;2147483396,00000;0,04017;2147483396,00000;0,388;0,000
2,1900;6,67134;2147483396,00000;0,04052;2147483396,00000;0,382;0,000
2,2000;6,67169;2147483396,00000;0,04088;2147483396,00000;0,378;0,000
2,2100;6,67220;2147483396,00000;0,04139;2147483396,00000;0,375;0,000
2,2200;6,67277;2147483396,00000;0,04195;2147483396,00000;0,380;0,000
2,2300;6,67333;2147483396,00000;0,04248;2147483396,00000;0,395;0,000
2,2400;6,67386;2147483396,00000;0,04298;2147483396,00000;0,382;0,000
2,2500;6,67423;2147483396,00000;0,04335;2147483396,00000;0,383;0,000
2,2600;6,67461;2147483396,00000;0,04373;2147483396,00000;0,384;0,000
2,2700;6,67506;2147483396,00000;0,04417;2147483396,00000;0,385;0,000
2,2800;6,67566;2147483396,00000;0,04477;2147483396,00000;0,385;0,000
2,2900;6,67626;2147483396,00000;0,04538;2147483396,00000;0,384;0,000
2,3000;6,67686;2147483396,00000;0,04596;2147483396,00000;0,381;0,000
2,3100;6,67727;2147483396,00000;0,04635;2147483396,00000;0,383;0,000
2,3200;6,67768;2147483396,00000;0,04675;2147483396,00000;0,389;0,000
2,3300;6,67810;2147483396,00000;0,04714;2147483396,00000;0,391;0,000
2,3400;6,67869;2147483396,00000;0,04773;2147483396,00000;0,384;0,000
2,3500;6,67929;2147483396,00000;0,04832;2147483396,00000;0,389;0,000
2,3600;6,67989;2147483396,00000;0,04892;2147483396,00000;0,389;0,000
2,3700;6,68032;2147483396,00000;0,04936;2147483396,00000;0,387;0,000
2,3800;6,68069;2147483396,00000;0,04972;2147483396,00000;0,393;0,000
2,3900;6,68106;2147483396,00000;0,05009;2147483396,00000;0,393;0,000
2,4000;6,68155;2147483396,00000;0,05058;2147483396,00000;0,395;0,000
2,4100;6,68206;2147483396,00000;0,05109;2147483396,00000;0,392;0,000
2,4200;6,68257;2147483396,00000;0,05161;2147483396,00000;0,393;0,000
2,4300;6,68304;2147483396,00000;0,05208;2147483396,00000;0,393;0,000
2,4400;6,68339;2147483396,00000;0,05242;2147483396,00000;0,395;0,000
2,4500;6,68373;2147483396,00000;0,05276;2147483396,00000;0,393;0,000
2,4600;6,68413;2147483396,00000;0,05317;2147483396,00000;0,395;0,000
2,4700;6,68458;2147483396,00000;0,05361;2147483396,00000;0,393;0,000
2,4800;6,68506;2147483396,00000;0,05410;2147483396,00000;0,395;0,000
2,4900;6,68557;2147483396,00000;0,05461;2147483396,00000;0,396;0,000
2,5000;6,68592;2147483396,00000;0,05495;2147483396,00000;0,394;0,000
2,5100;6,68628;2147483396,00000;0,05532;2147483396,00000;0,396;0,000
2,5200;6,68667;2147483396,00000;0,05571;2147483396,00000;0,396;0,000
2,5300;6,68714;2147483396,00000;0,05616;2147483396,00000;0,393;0,000
2,5400;6,68760;2147483396,00000;0,05660;2147483396,00000;0,392;0,000
2,5500;6,68816;2147483396,00000;0,05714;2147483396,00000;0,393;0,000
2,5600;6,68859;2147483396,00000;0,05752;2147483396,00000;0,391;0,000
2,5700;6,68901;2147483396,00000;0,05787;2147483396,00000;0,389;0,000
2,5800;6,68942;2147483396,00000;0,05816;2147483396,00000;0,383;0,000
2,5900;6,68985;2147483396,00000;0,05847;2147483396,00000;0,393;0,000
2,6000;6,69029;2147483396,00000;0,05876;2147483396,00000;0,403;0,000
2,6100;6,69079;2147483396,00000;0,05910;2147483396,00000;0,391;0,000
